Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Probosciger aterimus,0,0,0,0,15,9,7
Pseudorectes ferrugineus,0,0,0,0,0,0,0
Psittacula alexandri,0,0,0,0,0,0,0
Psittacula longicauda,0,0,0,0,0,0,0
Psittaculata sp,2,0,0,0,0,0,0
Psittaculirostris desmarestii,0,0,0,0,0,0,38
Pteropus vampyrus,0,0,0,0,0,0,46
Ptilinopus aurantifrons,0,0,0,0,0,0,0
Ptilinopus coronulatus,0,0,0,0,0,4,1
Ptilinopus iozonus,0,0,0,0,0,0,79
Ptilinopus magnificus,0,0,0,0,0,0,0
Ptilinopus nanus,0,0,0,0,0,0,1
Ptilinopus pulchellus,0,0,0,0,0,0,0
Pycnonotus aurigaster,4,2,0,0,0,0,0
Pycnonotus erythrophthalmos,0,0,0,0,0,0,0
Pycnonotus Eutilotus,0,1,0,0,0,0,0
Pycnonotus goiavier,2,0,0,0,0,0,0
Pycnonotus melanicterus,0,0,0,0,0,0,0
Pycnopygius ixoides,0,0,0,0,0,0,0
Python breitensteini,0,0,0,0,0,0,0
Python curtus,0,1,0,0,0,0,0
Python reticulatus,3,0,3,0,0,1,0
Rallina fasciata,0,0,1,0,0,0,0
Rallus torquatus,0,0,0,0,0,0,0
Ramsayornis modestus,0,0,0,0,2,0,0
Rangkong,0,0,0,0,0,0,0
Rangkong putih,0,0,0,0,0,0,0
Rattus tiomanicus,0,0,0,0,0,0,0
Ratufa affinis,0,0,0,0,0,0,0
Ratufa bicolor,0,0,0,0,0,0,0
Rayap,0,0,0,0,0,0,0
Rhinoplax vigil,0,0,0,1,0,0,0
Rhipidura albolimbata,0,0,0,0,0,0,1
Rhipidura atra,0,0,0,0,0,0,0
Rhipidura javanica,0,0,0,0,0,0,0
Rhipidura leucophrys,0,0,0,0,1,22,0
Rhipidura maculipectus,0,0,0,0,0,0,5
Rhodothemis rufa,0,0,0,4,0,0,0
Rhynchophorus papuanus,0,0,0,0,0,0,0
Rhyticeros plicatus,0,0,0,0,2,27,241
Ruak ruak,0,0,0,0,0,0,0
Rusa unicolor,0,0,0,0,0,0,0
Salticidae,0,0,0,0,0,0,0
Sanca,0,0,0,0,0,0,0
Scandentia sp,0,0,0,0,0,0,0
Scincidae,0,0,0,0,0,0,0
Scolopendra cataracta,0,0,0,0,0,0,0
Scorpion,0,0,0,0,0,0,0
Scythrops novaehollandiae,0,0,0,0,0,0,1
Seleucidis melanoleucus,0,0,0,0,2,0,0
Serangga,0,0,0,0,0,0,0
Serangga Bumbelbe,0,0,0,0,0,0,0
Setora Nitens,0,0,0,0,0,0,0
