,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
85,Burung Nuri,0,0,6,0,0,0,0,0,6
86,Burung pelatuk ,0,0,0,0,0,0,0,0,0
87,Burung warna putih,0,0,0,0,0,0,0,0,0
88,Butastur liventer,0,0,0,0,0,0,0,0,0
89,Butorides striatus,0,0,0,0,0,0,0,0,0
90,Cacatua galerita,0,0,0,0,0,8,0,54,62
91,Cacatua sp,0,0,0,0,0,0,0,0,0
92,Cacatua sulphurea,0,0,0,0,0,0,25,0,25
93,Cacomantis merulinus,0,0,0,0,0,0,0,0,0
94,Cacomantis sepulcralis,0,0,0,0,0,0,0,0,0
95,Cacomantis variolosus,0,0,0,0,0,0,0,13,13
96,Calidaris alba,0,0,0,0,0,0,0,0,0
97,Callosciurus notatus,0,0,0,0,0,0,0,0,0
98,Callosciurus prevostii,0,0,0,0,0,0,0,0,0
99,Calloselasma rhodostoma,0,0,0,1,0,0,0,0,1
100,Calotes sp,0,0,0,0,0,0,0,0,0
101,Candoia aspera,0,0,0,0,0,0,0,0,0
102,Capung,0,0,0,0,0,0,0,0,0
103,Capung Cokelat Bata,0,0,0,0,0,0,0,0,0
104,Carlia fusca,0,0,0,0,0,0,0,0,0
105,Carterocephalus palaemon,0,0,0,0,0,0,0,0,0
106,Casuarius casuarius,0,0,0,0,0,2,0,2,4
107,Casuarius unappendiculatus,0,0,0,0,0,0,0,0,0
108,Cekarang Belukar,0,0,0,0,0,0,0,0,0
109,Celeus brachyurus,0,0,0,0,0,0,0,0,0
110,Centropus bengalensis,0,0,0,0,0,0,0,0,0
111,Centropus bernsteini,0,0,0,0,0,4,6,20,30
112,Centropus rectunguis,0,0,0,0,0,0,0,0,0
113,Centropus sinensis,0,3,0,0,16,0,0,0,19
114,Cercopithecidae,0,0,0,0,0,0,0,0,0
115,Cervus timorensis,0,0,0,0,0,10,0,0,10
116,Ceyx rufidorsa,0,0,0,0,1,0,0,0,1
117,Chalcites ruficollis,0,0,0,0,0,0,0,0,0
118,Chalcophaps indica,0,1,0,2,0,0,0,0,3
120,Chalcophaps stephani,Chalcophaps stepani,0,0,0,0,0,1,0,1
121,Chalcopsitta atra,0,0,0,0,0,3,101,73,177
122,Channa micropeltes,0,0,0,0,0,0,0,0,0
123,Channa striata,0,0,0,0,0,0,0,0,0
124,Charmosyna papou,0,0,0,0,0,0,35,0,35
125,Charmosyna placentis,Charmosyna placontis,0,0,0,0,0,7,58,65
127,Charmosyna rubrigularis,0,0,0,0,0,0,0,0,0
128,Chersonesia rahria,0,0,1,0,0,0,0,0,1
129,Chilopoda,0,0,0,0,0,0,0,0,0
130,Chlidonias hybridus,0,0,0,0,0,0,0,0,0
131,Chloropsis cochinchinensis,0,0,0,0,0,0,0,0,0
132,Chloropsis cyanopogon,0,0,5,0,0,0,0,0,5
133,Chloropsis sonnerati,0,0,0,0,0,0,0,0,0
134,Chrysococcyx ruficollis,0,0,0,0,0,0,0,0,0
135,Chrysopelea paradisi,0,0,0,0,0,0,0,0,0
136,Chrysophlegma miniaceum,0,0,0,0,0,0,0,0,0
137,Ciconia ciconia,0,25,0,0,0,0,0,0,25
138,Ciconiidae 1,0,0,0,0,0,0,0,0,0
139,Ciconiidae sp,0,0,0,0,0,0,0,0,0
140,Cinnyris jugularis,0,0,0,3,0,0,0,14,17
141,Clarias sp,0,0,0,0,0,0,0,0,0
142,Cocomantis flabeliformis,0,0,0,0,0,0,0,0,0
143,Coelagnatus Radiatus,0,0,0,0,0,0,0,0,0
144,Collocalia esculenta,0,22,0,0,0,0,3,4,29
145,Collocalia Maxima,0,0,0,0,0,0,0,0,0
146,Colluricinclam megarhyncha,0,0,0,0,0,0,0,0,0
147,Colossoma macropomum,0,0,0,0,0,0,0,0,0
148,Columba livia,0,7,0,0,0,0,0,0,7
149,Common sp,0,0,0,0,0,0,0,0,0
150,Copsychus malabaricus,0,0,0,0,0,0,0,0,0
151,Copsychus saularis,0,0,1,0,1,0,0,0,2
152,Coracina melaena,0,0,0,0,0,0,0,0,0
153,Coracina papuensis,0,0,0,0,0,0,36,9,45
154,Corvus enca,0,0,1,0,26,0,0,0,27
155,Cosymbotus platyurus,0,0,0,0,0,0,0,0,0
156,Coturnix chinensis,0,0,0,1,0,0,0,0,1
157,Craseonycteris thonglongyai,0,0,0,0,0,0,0,0,0
158,Crateroscelis muriana,0,0,0,0,0,0,0,0,0
159,Crocodylus novaeguineae,0,0,0,0,0,4,1,0,5
160,Crocodylus porosus,0,0,0,0,0,0,0,0,0
161,Crocothemis servilia,0,0,0,0,0,0,0,0,0
162,Cucak Ijo,0,0,0,0,0,0,0,0,0
163,Cucak Ijo Besar,0,0,0,0,0,0,0,0,0
164,Cuculus saturatus,0,0,0,0,0,0,2,0,2
165,Cuora amboinensis,0,0,0,0,0,0,0,0,0
166,Cuora amboinensis couro,0,0,0,0,0,0,0,0,0
167,Cuora amboninensis,Cuora amboinensis,0,0,0,0,0,0,0,0
168,Cyclopsitta diophthalma,0,0,0,0,0,0,0,131,131
169,Cymbirhynchus macrorhynchos,0,0,0,0,0,0,0,0,0
170,Cynopterus titthaecheilus,0,0,0,0,0,0,0,2,2
171,Dacelo gaudichaud,0,0,0,0,0,1,8,21,30
172,Danaidae,0,0,0,0,0,0,0,0,0
173,Daphnis hypothous,0,0,0,0,0,0,0,0,0
174,dari Famili Junonia,0,0,0,0,0,0,0,0,0
175,Dasia olivacea,0,0,0,0,0,0,0,0,0
176,Delichon dasypus,0,0,0,0,0,0,0,0,0
177,Dendrelaphis caudolineatus,0,0,0,1,0,0,0,0,1
178,Dendrelaphis pictus,0,0,0,0,0,0,0,2,2
179,Dendrocopos moluccensis,0,0,0,1,0,0,0,0,1
180,Dendrocygna arcuata,0,0,0,0,0,0,0,0,0
181,Dendrocygna guttata,0,0,0,0,0,6,20,226,252
182,Dendrocygna javanica,0,0,0,1,0,0,0,0,1
183,Dendrocygna sp,0,0,0,0,0,0,0,0,0
184,Dendrocygna eytoni,0,0,0,0,0,0,0,0,0
185,Dicaeum ignipectus,0,0,0,0,0,0,0,0,0
186,Dicaeum pectorale,0,0,0,0,0,0,0,11,11
187,Dicaeum trigonostigma,0,0,0,0,0,0,0,0,0
188,Dicrurus bracteatus,0,0,0,0,0,0,0,0,0
189,Dicrurus hottentottus,0,0,0,0,0,2,16,13,31
190,Dicrurus Leucophaeus,0,0,0,0,0,0,0,0,0
191,Dicrurus paradiseus,0,0,0,0,0,0,0,0,0
192,Dicrurus sp,0,0,0,0,0,0,0,0,0
193,Dicrurus sumatranus,0,0,12,0,0,0,0,0,12
194,Dinopium javanense,0,0,0,0,0,0,0,0,0
195,Diplacodes trivialis ,0,0,0,0,3,0,0,0,3
196,Dogania subplana,0,0,0,0,0,0,0,0,0
197,Doleschallia bisaltide ,0,0,0,0,0,0,0,0,0
198,Dorcopsis muelleri,0,0,0,0,0,0,0,0,0
199,Draco volans,0,0,0,0,0,0,0,0,0
200,Dryocopus javensis,0,0,1,0,0,0,0,0,1
201,Ducula aenea,0,0,0,0,1,0,0,0,1
202,Ducula chalconota,0,0,0,0,0,0,0,0,0
203,Ducula pinon,0,0,0,0,0,2,18,44,64
204,Ducula zoeae,0,0,0,0,0,2,2,2,6
205,Eclectus roratus,0,0,0,0,0,7,15,30,52
206,Eclectus sp,0,0,0,0,0,0,0,0,0
207,Edolisoma schisticeps,0,0,0,0,0,0,0,0,0
208,Egretta alba,Egretta sacra,0,0,0,0,5,0,0,5
209,Egretta eulophotes,0,0,0,27,0,0,0,0,27
210,Egretta garzetta,0,0,0,1,7,2,0,0,10
211,Egretta intermedia,0,0,0,1,0,8,18,20,47
212,Egretta sacra,0,0,0,0,0,0,1,2,3
213,Elang,0,0,0,0,0,2,0,0,2
214,Elanus caeruleus,0,0,0,39,4,0,0,0,43
215,Emoia caeruleocauda,0,0,0,0,0,0,0,5,5
216,Epicauta Hirticornis,0,0,0,0,0,0,0,0,0
217,Eudynamys scolopaceus,0,0,0,0,0,0,0,0,0
218,Eurema blanda,0,0,0,0,0,0,0,0,0
219,Eurostopodus archboldi,0,0,0,0,0,0,0,1,1
220,Eurostopodus papuensis,0,0,0,0,0,0,0,0,0
221,Eurystomus orientalis,0,0,0,0,10,0,23,0,33
222,Euthysanius,0,0,0,0,0,0,0,0,0
223,Eutropis multifasciata,0,0,0,0,0,0,0,0,0
224,Exobrucus  sinensis,0,0,0,0,0,0,1,0,1
225,Falco peregrinus,0,0,0,0,0,0,0,0,0
226,Gallus gallus,0,0,0,0,0,0,0,0,0
227,Gecko Gecko,0,0,0,0,0,0,0,0,0
228,Gekko monarchus,0,0,0,0,0,0,0,0,0
229,Gekko smithii,0,0,1,0,0,0,0,0,1
230,Gekko vittatus,0,0,0,0,0,0,1,0,1
231,Gekkonidae,0,0,0,0,0,0,0,0,0
232,Gelochelidon nilotica,0,0,0,0,0,0,0,0,0
233,Geoffroyus geoffroyi,0,0,0,0,0,0,33,79,112
234,Geopelia striata,0,8,1,1,0,0,0,0,10
